Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,10.5,-6.695831298828125,[ True  True  True],0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,,,,
Raw,11.0,-8.063793182373047,[ True  True  True],0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,,,,
Raw,11.5,-8.957332611083984,[ True  True  True],0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,,,,
Raw,12.0,-9.51130199432373,[ True  True  True],0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,,,,
Raw,12.5,-9.926209449768066,[ True  True  True],0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,,,,
Raw,13.0,-10.270817756652832,[ True  True  True],0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,,,,
Raw,13.5,-10.567445755004883,[ True  True  True],0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,,,,
Raw,14.0,-10.831682205200195,[ True  True  True],0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,,,,
Raw,14.5,-11.0686674118042,[ True  True  True],0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,,,,
Raw,15.0,-11.276248931884766,[ True  True  True],0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,,,,
Raw,15.5,-11.451950073242188,[ True  True  True],0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,,,,
Raw,16.0,-11.595703125,[ True  True  True],0.0,1.9999999999999998,1.9999999999999998,1.9999999999999998,0.0,1.9999999999999998,1.9999999999999998,1.9999999999999998,0.0,,,,
Raw,16.3,-11.667435646057129,[ True  True  True],0.0,2.01242267876742,2.01242267876742,2.01242267876742,0.0,2.01242267876742,2.01242267876742,2.01242267876742,0.0,,,,
Raw,16.6,-11.72912311553955,[ True  True  True],0.0,2.024693852005457,2.024693852005457,2.024693852005457,0.0,2.024693852005457,2.024693852005457,2.024693852005457,0.0,,,,
