Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,10.5,-6.648954391479492,[ True  True  True],0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,,,,
Raw,11.0,-7.556764602661133,[ True  True  True],0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,,,,
Raw,11.5,-8.31966781616211,[ True  True  True],0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,,,,
Raw,12.0,-8.962803840637207,[ True  True  True],0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,,,,
Raw,12.5,-9.506904602050781,[ True  True  True],0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,,,,
Raw,13.0,-9.96783447265625,[ True  True  True],0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,,,,
Raw,13.5,-10.357239723205566,[ True  True  True],0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,,,,
Raw,14.0,-10.684064865112305,[ True  True  True],0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,,,,
Raw,14.5,-10.955865859985352,[ True  True  True],0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,,,,
Raw,15.0,-11.179555892944336,[ True  True  True],0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,,,,
Raw,15.5,-11.361616134643555,[ True  True  True],0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,,,,
