Type,Volume,Energy,Model,v0,e0,Bulk_Modulus_GPa,Pressure
Raw,10.5,-6.671977996826172,,,,,
Raw,11.0,-7.735549449920654,,,,,
Raw,11.5,-8.703136444091797,,,,,
Raw,12.0,-9.555542945861816,,,,,
Raw,12.5,-10.258247375488281,,,,,
Raw,13.0,-10.770980834960938,,,,,
Raw,13.5,-11.140767097473145,,,,,
Raw,14.0,-11.447966575622559,,,,,
Raw,14.5,-11.710869789123535,,,,,
Raw,15.0,-11.927799224853516,,,,,
Raw,15.5,-12.110133171081543,,,,,
Raw,16.0,-12.261614799499512,,,,,
Raw,16.3,-12.337345123291016,,,,,
Raw,16.6,-12.402088165283203,,,,,
Raw,16.900000000000002,-12.458131790161133,,,,,
Raw,17.200000000000003,-12.506906509399414,,,,,
Raw,17.500000000000004,-12.544600486755371,,,,,
Raw,17.800000000000004,-12.573419570922852,,,,,
Raw,18.100000000000005,-12.595630645751953,,,,,
Raw,18.400000000000006,-12.611993789672852,,,,,
Raw,18.700000000000006,-12.621580123901367,,,,,
Raw,19.000000000000007,-12.626410484313965,,,,,
Raw,19.19,-12.627699851989746,,,,,
Raw,19.300000000000008,-12.627857208251953,,,,,
Raw,19.60000000000001,-12.62564468383789,,,,,
Raw,19.90000000000001,-12.619752883911133,,,,,
Raw,20.20000000000001,-12.610329627990723,,,,,
Raw,20.50000000000001,-12.5977783203125,,,,,
Raw,20.80000000000001,-12.582083702087402,,,,,
Raw,21.100000000000012,-12.562999725341797,,,,,
Raw,21.400000000000013,-12.540630340576172,,,,,
EOS,,,birchmurnaghan,19.384754539694416,-12.620071703269584,118.5891760439998,
EOS,,,murnaghan,19.319995838731415,-12.62562721307219,137.11860598267742,
EOS,,,sjeos,19.429408684157078,-12.615349541709321,102.34540224052805,
EOS,,,taylor,18.192027501664008,-12.570266727107434,125.49897335661083,
EOS,,,birch,19.384754421336083,-12.620071703113666,118.58918514214436,
Interpolated,10.5,-6.671977996826173,,,,,
Interpolated,10.52184368737475,-6.7202170388649645,,,,,
Interpolated,10.5436873747495,-6.768303792100513,,,,,
Interpolated,10.565531062124249,-6.816236844655748,,,,,
Interpolated,10.587374749498998,-6.864014784653589,,,,,
Interpolated,10.609218436873748,-6.911636200216961,,,,,
Interpolated,10.631062124248498,-6.959099679468789,,,,,
Interpolated,10.652905811623247,-7.006403810531995,,,,,
Interpolated,10.674749498997997,-7.053547181529505,,,,,
Interpolated,10.696593186372745,-7.100528380584237,,,,,
Interpolated,10.718436873747494,-7.147345995819123,,,,,
Interpolated,10.740280561122244,-7.193998615357082,,,,,
Interpolated,10.762124248496994,-7.24048482732104,,,,,
Interpolated,10.783967935871743,-7.286803219833919,,,,,
Interpolated,10.805811623246493,-7.332952381018646,,,,,
Interpolated,10.827655310621243,-7.3789308989981395,,,,,
Interpolated,10.849498997995992,-7.424737361895326,,,,,
Interpolated,10.871342685370742,-7.470370357833132,,,,,
Interpolated,10.893186372745491,-7.515828474934476,,,,,
Interpolated,10.915030060120241,-7.5611103013222865,,,,,
Interpolated,10.93687374749499,-7.606214425119485,,,,,
Interpolated,10.95871743486974,-7.651139434448996,,,,,
Interpolated,10.98056112224449,-7.695883917433742,,,,,
Interpolated,11.00240480961924,-7.7404464621966484,,,,,
Interpolated,11.02424849699399,-7.78482565686064,,,,,
Interpolated,11.046092184368739,-7.829020089548637,,,,,
Interpolated,11.067935871743488,-7.873028348383567,,,,,
Interpolated,11.089779559118238,-7.916849021488351,,,,,
Interpolated,11.111623246492986,-7.960480696985912,,,,,
Interpolated,11.133466933867735,-8.003921962999177,,,,,
Interpolated,11.155310621242485,-8.047171407651069,,,,,
Interpolated,11.177154308617235,-8.090227619064514,,,,,
Interpolated,11.198997995991984,-8.133089185362431,,,,,
Interpolated,11.220841683366734,-8.175754694667749,,,,,
Interpolated,11.242685370741484,-8.218222735103385,,,,,
Interpolated,11.264529058116233,-8.260491894792267,,,,,
Interpolated,11.286372745490983,-8.30256076185732,,,,,
Interpolated,11.308216432865732,-8.344427924421465,,,,,
Interpolated,11.330060120240482,-8.386091970607628,,,,,
Interpolated,11.351903807615232,-8.427551488538734,,,,,
Interpolated,11.373747494989981,-8.468805066337703,,,,,
Interpolated,11.395591182364731,-8.509851292127461,,,,,
Interpolated,11.41743486973948,-8.550688754030931,,,,,
Interpolated,11.43927855711423,-8.591316040171037,,,,,
Interpolated,11.46112224448898,-8.631731738670702,,,,,
Interpolated,11.48296593186373,-8.671934437652855,,,,,
Interpolated,11.504809619238479,-8.711922723225994,,,,,
Interpolated,11.526653306613227,-8.751694846732743,,,,,
Interpolated,11.548496993987976,-8.791248353524804,,,,,
Interpolated,11.570340681362726,-8.830580699464289,,,,,
Interpolated,11.592184368737476,-8.869689340413307,,,,,
Interpolated,11.614028056112225,-8.908571732233971,,,,,
Interpolated,11.635871743486975,-8.947225330788394,,,,,
Interpolated,11.657715430861725,-8.985647591938685,,,,,
Interpolated,11.679559118236474,-9.023835971546962,,,,,
Interpolated,11.701402805611224,-9.061787925475327,,,,,
Interpolated,11.723246492985973,-9.0995009095859,,,,,
Interpolated,11.745090180360723,-9.136972379740794,,,,,
Interpolated,11.766933867735473,-9.174199791802113,,,,,
Interpolated,11.788777555110222,-9.211180601631975,,,,,
Interpolated,11.810621242484972,-9.247912265092491,,,,,
Interpolated,11.832464929859722,-9.28439223804577,,,,,
