Type,Volume,Energy,Model,v0,e0,Bulk_Modulus_GPa,Pressure
Raw,10.5,-6.648954391479492,,,,,
Raw,11.0,-7.556764602661133,,,,,
Raw,11.5,-8.31966781616211,,,,,
Raw,12.0,-8.962803840637207,,,,,
Raw,12.5,-9.506904602050781,,,,,
Raw,13.0,-9.96783447265625,,,,,
Raw,13.5,-10.357239723205566,,,,,
Raw,14.0,-10.684064865112305,,,,,
Raw,14.5,-10.955865859985352,,,,,
Raw,15.0,-11.179555892944336,,,,,
Raw,15.5,-11.361616134643555,,,,,
Raw,16.0,-11.507898330688477,,,,,
Raw,16.3,-11.580629348754883,,,,,
Raw,16.6,-11.643282890319824,,,,,
Raw,16.900000000000002,-11.696700096130371,,,,,
Raw,17.200000000000003,-11.741647720336914,,,,,
Raw,17.500000000000004,-11.778813362121582,,,,,
Raw,17.800000000000004,-11.808839797973633,,,,,
Raw,18.100000000000005,-11.832303047180176,,,,,
Raw,18.400000000000006,-11.849715232849121,,,,,
Raw,18.700000000000006,-11.861549377441406,,,,,
Raw,19.000000000000007,-11.868229866027832,,,,,
Raw,19.19,-11.86996841430664,,,,,
Raw,19.300000000000008,-11.870144844055176,,,,,
Raw,19.60000000000001,-11.86765193939209,,,,,
Raw,19.90000000000001,-11.861067771911621,,,,,
Raw,20.20000000000001,-11.850719451904297,,,,,
Raw,20.50000000000001,-11.836870193481445,,,,,
Raw,20.80000000000001,-11.819802284240723,,,,,
Raw,21.100000000000012,-11.799745559692383,,,,,
Raw,21.400000000000013,-11.776939392089844,,,,,
EOS,,,birchmurnaghan,19.248170312743508,-11.872603859170228,159.1511044890933,
EOS,,,murnaghan,19.235770056271697,-11.875969795194125,168.82989514631487,
EOS,,,sjeos,19.251622279691,-11.872298581075807,158.18792585095323,
EOS,,,taylor,18.833056407180873,-11.837210895940357,98.7189269839982,
EOS,,,birch,19.24817030750354,-11.872603859237616,159.1511050156492,
Interpolated,10.5,-6.648954391479493,,,,,
Interpolated,10.52184368737475,-6.691995979055248,,,,,
Interpolated,10.5436873747495,-6.734713470061842,,,,,
Interpolated,10.565531062124249,-6.777109035773738,,,,,
Interpolated,10.587374749498998,-6.819184847465404,,,,,
Interpolated,10.609218436873748,-6.860943076411304,,,,,
Interpolated,10.631062124248498,-6.902385893885903,,,,,
Interpolated,10.652905811623247,-6.943515471163664,,,,,
Interpolated,10.674749498997997,-6.984333979519055,,,,,
Interpolated,10.696593186372745,-7.024843590226534,,,,,
Interpolated,10.718436873747494,-7.065046474560578,,,,,
Interpolated,10.740280561122244,-7.104944803795642,,,,,
Interpolated,10.762124248496994,-7.144540749206197,,,,,
Interpolated,10.783967935871743,-7.183836482066705,,,,,
Interpolated,10.805811623246493,-7.222834173651632,,,,,
Interpolated,10.827655310621243,-7.261535995235442,,,,,
Interpolated,10.849498997995992,-7.2999441180926,,,,,
Interpolated,10.871342685370742,-7.338060713497572,,,,,
Interpolated,10.893186372745491,-7.375887952724824,,,,,
Interpolated,10.915030060120241,-7.413428007048818,,,,,
Interpolated,10.93687374749499,-7.45068304774402,,,,,
Interpolated,10.95871743486974,-7.487655246084897,,,,,
Interpolated,10.98056112224449,-7.524346773345912,,,,,
Interpolated,11.00240480961924,-7.560759800801531,,,,,
Interpolated,11.02424849699399,-7.59689649972622,,,,,
Interpolated,11.046092184368739,-7.63275904139444,,,,,
Interpolated,11.067935871743488,-7.66834959708066,,,,,
Interpolated,11.089779559118238,-7.703670338059343,,,,,
Interpolated,11.111623246492986,-7.738723435604953,,,,,
Interpolated,11.133466933867735,-7.773511060991956,,,,,
Interpolated,11.155310621242485,-7.808035385494821,,,,,
Interpolated,11.177154308617235,-7.84229858038801,,,,,
