Type,Volume,Energy,Model,v0,e0,Bulk_Modulus_GPa,Pressure
Raw,10.5,-6.349210739135742,,,,,
Raw,11.0,-7.312430381774902,,,,,
Raw,11.5,-8.130987167358398,,,,,
Raw,12.0,-8.828039169311523,,,,,
Raw,12.5,-9.416739463806152,,,,,
Raw,13.0,-9.911109924316406,,,,,
Raw,13.5,-10.322731971740723,,,,,
Raw,14.0,-10.66406536102295,,,,,
Raw,14.5,-10.945331573486328,,,,,
Raw,15.0,-11.174379348754883,,,,,
Raw,15.5,-11.358597755432129,,,,,
Raw,16.0,-11.505252838134766,,,,,
Raw,16.3,-11.577855110168457,,,,,
Raw,16.6,-11.640260696411133,,,,,
Raw,16.900000000000002,-11.69336986541748,,,,,
Raw,17.200000000000003,-11.737983703613281,,,,,
Raw,17.500000000000004,-11.774822235107422,,,,,
Raw,17.800000000000004,-11.804535865783691,,,,,
Raw,18.100000000000005,-11.827718734741211,,,,,
Raw,18.400000000000006,-11.844905853271484,,,,,
Raw,18.700000000000006,-11.856575965881348,,,,,
Raw,19.000000000000007,-11.863166809082031,,,,,
Raw,19.19,-11.864892959594727,,,,,
Raw,19.300000000000008,-11.865072250366211,,,,,
Raw,19.60000000000001,-11.862661361694336,,,,,
Raw,19.90000000000001,-11.856277465820312,,,,,
Raw,20.20000000000001,-11.846240043640137,,,,,
Raw,20.50000000000001,-11.832837104797363,,,,,
Raw,20.80000000000001,-11.816337585449219,,,,,
Raw,21.100000000000012,-11.796981811523438,,,,,
Raw,21.400000000000013,-11.774985313415527,,,,,
EOS,,,birchmurnaghan,19.21106746114014,-11.869324622269744,160.35261810687592,
EOS,,,murnaghan,19.198668817401554,-11.872953470818887,170.47382963201616,
EOS,,,sjeos,19.222848584729398,-11.86795132333156,156.21901445391612,
EOS,,,taylor,18.67356721768755,-11.82813602199335,104.73506879183286,
EOS,,,birch,19.211067463765076,-11.86932462228888,160.35261795421567,
Interpolated,10.5,-6.349210739135744,,,,,
Interpolated,10.52184368737475,-6.394666756924572,,,,,
Interpolated,10.5436873747495,-6.439799299861079,,,,,
Interpolated,10.565531062124249,-6.484610532104433,,,,,
Interpolated,10.587374749498998,-6.529102617813797,,,,,
Interpolated,10.609218436873748,-6.573277721148331,,,,,
Interpolated,10.631062124248498,-6.617138006267204,,,,,
Interpolated,10.652905811623247,-6.660685637329577,,,,,
Interpolated,10.674749498997997,-6.703922778494615,,,,,
Interpolated,10.696593186372745,-6.746851593921476,,,,,
Interpolated,10.718436873747494,-6.789474247769333,,,,,
Interpolated,10.740280561122244,-6.831792904197347,,,,,
Interpolated,10.762124248496994,-6.873809727364679,,,,,
Interpolated,10.783967935871743,-6.915526881430496,,,,,
Interpolated,10.805811623246493,-6.956946530553961,,,,,
Interpolated,10.827655310621243,-6.998070838894234,,,,,
Interpolated,10.849498997995992,-7.0389019706104845,,,,,
Interpolated,10.871342685370742,-7.079442089861873,,,,,
Interpolated,10.893186372745491,-7.119693360807564,,,,,
Interpolated,10.915030060120241,-7.159657947606721,,,,,
Interpolated,10.93687374749499,-7.199338014418509,,,,,
Interpolated,10.95871743486974,-7.238735725402092,,,,,
Interpolated,10.98056112224449,-7.2778532447166295,,,,,
Interpolated,11.00240480961924,-7.316692736521292,,,,,
Interpolated,11.02424849699399,-7.355256364975239,,,,,
