Type,Volume,Energy,Model,v0,e0,Bulk_Modulus_GPa,Pressure
Raw,10.5,-6.00441837310791,,,,,
Raw,11.0,-7.128593921661377,,,,,
Raw,11.5,-8.039552688598633,,,,,
Raw,12.0,-8.773635864257812,,,,,
Raw,12.5,-9.372762680053711,,,,,
Raw,13.0,-9.872278213500977,,,,,
Raw,13.5,-10.29296875,,,,,
Raw,14.0,-10.646027565002441,,,,,
Raw,14.5,-10.94575023651123,,,,,
Raw,15.0,-11.197505950927734,,,,,
Raw,15.5,-11.400613784790039,,,,,
Raw,16.0,-11.556880950927734,,,,,
Raw,16.3,-11.63070297241211,,,,,
Raw,16.6,-11.691343307495117,,,,,
Raw,16.900000000000002,-11.740253448486328,,,,,
Raw,17.200000000000003,-11.783353805541992,,,,,
Raw,17.500000000000004,-11.820436477661133,,,,,
Raw,17.800000000000004,-11.850089073181152,,,,,
Raw,18.100000000000005,-11.873208045959473,,,,,
Raw,18.400000000000006,-11.890506744384766,,,,,
Raw,18.700000000000006,-11.902557373046875,,,,,
Raw,19.000000000000007,-11.909814834594727,,,,,
Raw,19.19,-11.912089347839355,,,,,
Raw,19.300000000000008,-11.912614822387695,,,,,
Raw,19.60000000000001,-11.911185264587402,,,,,
Raw,19.90000000000001,-11.905691146850586,,,,,
Raw,20.20000000000001,-11.896281242370605,,,,,
Raw,20.50000000000001,-11.883142471313477,,,,,
Raw,20.80000000000001,-11.866537094116211,,,,,
Raw,21.100000000000012,-11.846817016601562,,,,,
Raw,21.400000000000013,-11.824370384216309,,,,,
EOS,,,birchmurnaghan,19.278860848780386,-11.915212979653614,152.67494903287388,
EOS,,,murnaghan,19.25787342235066,-11.919103326555042,164.31790528067492,
EOS,,,sjeos,19.28636309634393,-11.913037842287054,146.21028075228904,
EOS,,,taylor,18.575323216192633,-11.870210950831895,107.70778622098315,
EOS,,,birch,19.27886087893258,-11.915212979269853,152.67494600376477,
Interpolated,10.5,-6.004418373107911,,,,,
Interpolated,10.52184368737475,-6.058455920238316,,,,,
Interpolated,10.5436873747495,-6.112023375761178,,,,,
Interpolated,10.565531062124249,-6.165123624516882,,,,,
Interpolated,10.587374749498998,-6.2177595513458055,,,,,
Interpolated,10.609218436873748,-6.269934041088328,,,,,
Interpolated,10.631062124248498,-6.3216499785848335,,,,,
Interpolated,10.652905811623247,-6.372910248675699,,,,,
Interpolated,10.674749498997997,-6.423717736201307,,,,,
Interpolated,10.696593186372745,-6.4740753260020325,,,,,
Interpolated,10.718436873747494,-6.523985902918268,,,,,
Interpolated,10.740280561122244,-6.573452351790383,,,,,
Interpolated,10.762124248496994,-6.622477557458764,,,,,
Interpolated,10.783967935871743,-6.671064404763792,,,,,
Interpolated,10.805811623246493,-6.719215778545843,,,,,
Interpolated,10.827655310621243,-6.766934563645299,,,,,
Interpolated,10.849498997995992,-6.814223644902542,,,,,
Interpolated,10.871342685370742,-6.861085907157953,,,,,
Interpolated,10.893186372745491,-6.907524235251911,,,,,
Interpolated,10.915030060120241,-6.9535415140247965,,,,,
Interpolated,10.93687374749499,-6.999140628316992,,,,,
Interpolated,10.95871743486974,-7.044324462968875,,,,,
Interpolated,10.98056112224449,-7.089095902820827,,,,,
Interpolated,11.00240480961924,-7.133457832713231,,,,,
Interpolated,11.02424849699399,-7.177413137486466,,,,,
Interpolated,11.046092184368739,-7.220964701980911,,,,,
Interpolated,11.067935871743488,-7.264115411036948,,,,,
Interpolated,11.089779559118238,-7.306868149494957,,,,,
Interpolated,11.111623246492986,-7.349225802195318,,,,,
Interpolated,11.133466933867735,-7.391191253978413,,,,,
Interpolated,11.155310621242485,-7.432767389684622,,,,,
Interpolated,11.177154308617235,-7.4739570941543265,,,,,
Interpolated,11.198997995991984,-7.5147632522279055,,,,,
Interpolated,11.220841683366734,-7.555188748745742,,,,,
Interpolated,11.242685370741484,-7.5952364685482125,,,,,
Interpolated,11.264529058116233,-7.634909296475699,,,,,
Interpolated,11.286372745490983,-7.674210117368585,,,,,
Interpolated,11.308216432865732,-7.713141816067246,,,,,
Interpolated,11.330060120240482,-7.751707277412068,,,,,
Interpolated,11.351903807615232,-7.78990938624343,,,,,
Interpolated,11.373747494989981,-7.827751027401707,,,,,
Interpolated,11.395591182364731,-7.865235085727286,,,,,
Interpolated,11.41743486973948,-7.902364446060547,,,,,
Interpolated,11.43927855711423,-7.939141993241867,,,,,
Interpolated,11.46112224448898,-7.975570612111628,,,,,
Interpolated,11.48296593186373,-8.011653187510214,,,,,
Interpolated,11.504809619238479,-8.047392605829346,,,,,
Interpolated,11.526653306613227,-8.08279201127093,,,,,
Interpolated,11.548496993987976,-8.11785509173519,,,,,
Interpolated,11.570340681362726,-8.152585604040148,,,,,
Interpolated,11.592184368737476,-8.186987305003814,,,,,
Interpolated,11.614028056112225,-8.221063951444204,,,,,
Interpolated,11.635871743486975,-8.25481930017934,,,,,
Interpolated,11.657715430861725,-8.288257108027237,,,,,
Interpolated,11.679559118236474,-8.321381131805909,,,,,
Interpolated,11.701402805611224,-8.354195128333377,,,,,
Interpolated,11.723246492985973,-8.386702854427652,,,,,
Interpolated,11.745090180360723,-8.418908066906758,,,,,
Interpolated,11.766933867735473,-8.450814522588708,,,,,
Interpolated,11.788777555110222,-8.482425978291518,,,,,
Interpolated,11.810621242484972,-8.51374619083321,,,,,
Interpolated,11.832464929859722,-8.544778917031794,,,,,
Interpolated,11.854308617234471,-8.57552791370529,,,,,
Interpolated,11.87615230460922,-8.605996937671714,,,,,
Interpolated,11.897995991983969,-8.636189745749082,,,,,
Interpolated,11.91983967935872,-8.666110094755417,,,,,
Interpolated,11.941683366733468,-8.695761741508731,,,,,
Interpolated,11.963527054108217,-8.725148442827038,,,,,
Interpolated,11.985370741482967,-8.754273955528362,,,,,
Interpolated,12.007214428857717,-8.783142032243838,,,,,
Interpolated,12.029058116232466,-8.81175616877067,,,,,
Interpolated,12.050901803607216,-8.840119459547077,,,,,
Interpolated,12.072745490981966,-8.868234964101179,,,,,
Interpolated,12.094589178356715,-8.896105741961087,,,,,
Interpolated,12.116432865731465,-8.923734852654915,,,,,
Interpolated,12.138276553106214,-8.951125355710777,,,,,
Interpolated,12.160120240480964,-8.978280310656787,,,,,
Interpolated,12.181963927855714,-9.005202777021058,,,,,
Interpolated,12.203807615230463,-9.031895814331708,,,,,
Interpolated,12.225651302605213,-9.058362482116845,,,,,
Interpolated,12.247494989979963,-9.084605839904588,,,,,
