Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,17.800000000000004,-11.902832984924316,[ True  True  True],0.0,2.072351098059261,2.072351098059261,2.072351098059261,0.0,2.072351098059261,2.072351098059261,2.072351098059261,0.0,,,,
Raw,18.100000000000005,-11.926126480102539,[ True  True  True],0.0,2.0839287187204754,2.0839287187204754,2.0839287187204754,0.0,2.0839287187204754,2.0839287187204754,2.0839287187204754,0.0,,,,
Raw,18.400000000000006,-11.943449974060059,[ True  True  True],0.0,2.0953791063432945,2.0953791063432945,2.0953791063432945,0.0,2.0953791063432945,2.0953791063432945,2.0953791063432945,0.0,,,,
Raw,18.700000000000006,-11.9552583694458,[ True  True  True],0.0,2.106705699930155,2.106705699930155,2.106705699930155,0.0,2.106705699930155,2.106705699930155,2.106705699930155,0.0,,,,
Raw,19.000000000000007,-11.961954116821289,[ True  True  True],0.0,2.1179117921274466,2.1179117921274466,2.1179117921274466,0.0,2.1179117921274466,2.1179117921274466,2.1179117921274466,0.0,,,,
Raw,19.19,-11.963709831237793,[ True  True  True],0.0,2.124948095618028,2.124948095618028,2.124948095618028,0.0,2.124948095618028,2.124948095618028,2.124948095618028,0.0,,,,
Raw,19.300000000000008,-11.96389102935791,[ True  True  True],0.0,2.129000537655505,2.129000537655505,2.129000537655505,0.0,2.129000537655505,2.129000537655505,2.129000537655505,0.0,,,,
Raw,19.60000000000001,-11.961434364318848,[ True  True  True],0.0,2.139974961130159,2.139974961130159,2.139974961130159,0.0,2.139974961130159,2.139974961130159,2.139974961130159,0.0,,,,
Raw,19.90000000000001,-11.954900741577148,[ True  True  True],0.0,2.150837964328351,2.150837964328351,2.150837964328351,0.0,2.150837964328351,2.150837964328351,2.150837964328351,0.0,,,,
Raw,20.20000000000001,-11.94457721710205,[ True  True  True],0.0,2.161592332945083,2.161592332945083,2.161592332945083,0.0,2.161592332945083,2.161592332945083,2.161592332945083,0.0,,,,
