Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Raw,10.5,-6.00441837310791,[ True  True  True],0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,1.7380133224432248,1.7380133224432248,1.7380133224432248,0.0,,,,
Raw,11.0,-7.128593921661377,[ True  True  True],0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,1.7651741676630315,1.7651741676630315,1.7651741676630315,0.0,,,,
Raw,11.5,-8.039552688598633,[ True  True  True],0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,1.791523935507973,1.791523935507973,1.791523935507973,0.0,,,,
Raw,12.0,-8.773635864257812,[ True  True  True],0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,1.8171205928321394,1.8171205928321394,1.8171205928321394,0.0,,,,
Raw,12.5,-9.372762680053711,[ True  True  True],0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,1.8420157493201932,1.8420157493201932,1.8420157493201932,0.0,,,,
Raw,13.0,-9.872278213500977,[ True  True  True],0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,1.8662555784086239,1.8662555784086239,1.8662555784086239,0.0,,,,
Raw,13.5,-10.29296875,[ True  True  True],0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,1.8898815748423097,1.8898815748423097,1.8898815748423097,0.0,,,,
Raw,14.0,-10.646027565002441,[ True  True  True],0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,1.912931182772389,1.912931182772389,1.912931182772389,0.0,,,,
Raw,14.5,-10.94575023651123,[ True  True  True],0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,1.9354383203138983,1.9354383203138983,1.9354383203138983,0.0,,,,
Raw,15.0,-11.197505950927734,[ True  True  True],0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,1.9574338205844317,1.9574338205844317,1.9574338205844317,0.0,,,,
Raw,15.5,-11.400613784790039,[ True  True  True],0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,1.9789458048402027,1.9789458048402027,1.9789458048402027,0.0,,,,
Raw,16.0,-11.556880950927734,[ True  True  True],0.0,1.9999999999999998,1.9999999999999998,1.9999999999999998,0.0,1.9999999999999998,1.9999999999999998,1.9999999999999998,0.0,,,,
Raw,16.3,-11.63070297241211,[ True  True  True],0.0,2.01242267876742,2.01242267876742,2.01242267876742,0.0,2.01242267876742,2.01242267876742,2.01242267876742,0.0,,,,
Raw,16.6,-11.691343307495117,[ True  True  True],0.0,2.024693852005457,2.024693852005457,2.024693852005457,0.0,2.024693852005457,2.024693852005457,2.024693852005457,0.0,,,,
Raw,16.900000000000002,-11.740253448486328,[ True  True  True],0.0,2.03681805624826,2.03681805624826,2.03681805624826,0.0,2.03681805624826,2.03681805624826,2.03681805624826,0.0,,,,
Raw,17.200000000000003,-11.783353805541992,[ True  True  True],0.0,2.0487996145182663,2.0487996145182663,2.0487996145182663,0.0,2.0487996145182663,2.0487996145182663,2.0487996145182663,0.0,,,,
Raw,17.500000000000004,-11.820436477661133,[ True  True  True],0.0,2.0606426499042785,2.0606426499042785,2.0606426499042785,0.0,2.0606426499042785,2.0606426499042785,2.0606426499042785,0.0,,,,
